survival_type,period,sex,age_group,years_since_dx,subtype,survival_pct,ci_lower,ci_upper
Observed,2012–2016,females,15–24,3,follicular,NA,NA,NA
Observed,2012–2016,females,25–34,3,follicular,1,0.923,1
Observed,2012–2016,females,35–44,3,follicular,0.9890000000000002,0.955,0.997
Observed,2012–2016,females,45–54,3,follicular,0.961,0.938,0.975
Observed,2012–2016,females,55–64,3,follicular,0.966,0.949,0.977
Observed,2012–2016,females,65–74,3,follicular,0.917,0.893,0.936
Observed,2012–2016,females,75–84,3,follicular,0.793,0.749,0.829
Observed,2012–2016,females,85+,3,follicular,0.477,0.386,0.562
Observed,2012–2016,females,5–14,4,follicular,NA,NA,NA
Observed,2012–2016,females,15–24,4,follicular,NA,NA,NA
Observed,2012–2016,females,25–34,4,follicular,1,0.921,1
Observed,2012–2016,females,35–44,4,follicular,0.9890000000000002,0.955,0.997
Observed,2012–2016,females,45–54,4,follicular,0.947,0.922,0.964
Observed,2012–2016,females,55–64,4,follicular,0.958,0.94,0.971
Observed,2012–2016,females,65–74,4,follicular,0.903,0.877,0.924
Observed,2012–2016,females,75–84,4,follicular,0.728,0.681,0.769
Observed,2012–2016,females,85+,4,follicular,0.427,0.339,0.513
Observed,2012–2016,females,5–14,5,follicular,NA,NA,NA
Observed,2012–2016,females,15–24,5,follicular,NA,NA,NA
Observed,2012–2016,females,25–34,5,follicular,1,0.92,1
Observed,2012–2016,females,35–44,5,follicular,0.978,0.941,0.9920000000000002
Observed,2012–2016,females,45–54,5,follicular,0.941,0.915,0.959
Observed,2012–2016,females,55–64,5,follicular,0.94,0.919,0.956
Observed,2012–2016,females,65–74,5,follicular,0.881,0.852,0.904
Observed,2012–2016,females,75–84,5,follicular,0.658,0.609,0.703
Observed,2012–2016,females,85+,5,follicular,0.335,0.254,0.418
Observed,2012–2016,males,5–14,1,follicular,NA,NA,NA
Observed,2012–2016,males,15–24,1,follicular,NA,NA,NA
Observed,2012–2016,males,25–34,1,follicular,1,0.945,1
Observed,2012–2016,males,35–44,1,follicular,0.9910000000000002,0.966,0.998
Observed,2012–2016,males,45–54,1,follicular,0.99,0.975,0.996
Observed,2012–2016,males,55–64,1,follicular,0.974,0.96,0.983
Observed,2012–2016,males,65–74,1,follicular,0.96,0.945,0.972
Observed,2012–2016,males,75–84,1,follicular,0.901,0.869,0.925
Observed,2012–2016,males,85+,1,follicular,0.754,0.671,0.819
Observed,2012–2016,males,5–14,2,follicular,NA,NA,NA
Observed,2012–2016,males,15–24,2,follicular,NA,NA,NA
Observed,2012–2016,males,25–34,2,follicular,1,0.948,1
Observed,2012–2016,males,35–44,2,follicular,0.9870000000000002,0.961,0.996
Observed,2012–2016,males,45–54,2,follicular,0.979,0.962,0.9890000000000002
Observed,2012–2016,males,55–64,2,follicular,0.96,0.944,0.972
Observed,2012–2016,males,65–74,2,follicular,0.926,0.906,0.942
Observed,2012–2016,males,75–84,2,follicular,0.831,0.793,0.863
Observed,2012–2016,males,85+,2,follicular,0.618,0.526,0.697
Observed,2012–2016,males,5–14,3,follicular,NA,NA,NA
Observed,2012–2016,males,15–24,3,follicular,NA,NA,NA
Observed,2012–2016,males,25–34,3,follicular,1,0.952,1
Observed,2012–2016,males,35–44,3,follicular,0.975,0.944,0.9880000000000002
Observed,2012–2016,males,45–54,3,follicular,0.964,0.943,0.978
Observed,2012–2016,males,55–64,3,follicular,0.942,0.924,0.957
Observed,2012–2016,males,65–74,3,follicular,0.884,0.859,0.904
Observed,2012–2016,males,75–84,3,follicular,0.777,0.736,0.813
Observed,2012–2016,males,85+,3,follicular,0.498,0.405,0.584
Observed,2012–2016,males,5–14,4,follicular,NA,NA,NA
Observed,2012–2016,males,15–24,4,follicular,NA,NA,NA
Observed,2012–2016,males,25–34,4,follicular,1,0.955,1
Observed,2012–2016,males,35–44,4,follicular,0.966,0.934,0.983
Observed,2012–2016,males,45–54,4,follicular,0.954,0.93,0.969
Observed,2012–2016,males,55–64,4,follicular,0.917,0.895,0.934
Observed,2012–2016,males,65–74,4,follicular,0.853,0.826,0.876
Observed,2012–2016,males,75–84,4,follicular,0.712,0.667,0.752
Observed,2012–2016,males,85+,4,follicular,0.379,0.29,0.468
Observed,2012–2016,males,5–14,5,follicular,NA,NA,NA
Observed,2012–2016,males,15–24,5,follicular,NA,NA,NA
Observed,2012–2016,males,25–34,5,follicular,0.9850000000000002,0.901,0.998
Observed,2012–2016,males,35–44,5,follicular,0.958,0.923,0.977
Observed,2012–2016,males,45–54,5,follicular,0.943,0.918,0.961
Observed,2012–2016,males,55–64,5,follicular,0.9,0.877,0.919
Observed,2012–2016,males,65–74,5,follicular,0.815,0.786,0.842
Observed,2012–2016,males,75–84,5,follicular,0.637,0.588,0.681
Observed,2012–2016,males,85+,5,follicular,0.358,0.269,0.447
Observed,2012–2016,persons,5–14,1,follicular,NA,NA,NA
Observed,2012–2016,persons,15–24,1,follicular,1,0.871,1
Observed,2012–2016,persons,25–34,1,follicular,1,0.967,1
Observed,2012–2016,persons,35–44,1,follicular,0.995,0.98,0.999
Observed,2012–2016,persons,45–54,1,follicular,0.9890000000000002,0.98,0.994
Observed,2012–2016,persons,55–64,1,follicular,0.98,0.971,0.9860000000000002
Observed,2012–2016,persons,65–74,1,follicular,0.971,0.961,0.978
Observed,2012–2016,persons,75–84,1,follicular,0.909,0.888,0.927
Observed,2012–2016,persons,85+,1,follicular,0.753,0.695,0.802
Observed,2012–2016,persons,5–14,2,follicular,NA,NA,NA
Observed,2012–2016,persons,15–24,2,follicular,NA,NA,NA
Observed,2012–2016,persons,25–34,2,follicular,1,0.968,1
