year,sex,age_group,subtype,count
1991,females,5–14,mantle_cell,0
1991,females,65–74,dlbcl,120
1991,females,65–74,follicular,80
1991,females,65–74,hodgkin,17
1991,females,65–74,mantle_cell,9
1991,females,75–84,dlbcl,112
1991,females,75–84,follicular,46
1991,females,75–84,hodgkin,13
1991,females,75–84,mantle_cell,7
1991,females,85+,dlbcl,22
1991,females,85+,follicular,7
1991,females,85+,hodgkin,2
1991,females,85+,mantle_cell,2
1991,males,15–24,dlbcl,10
1991,males,15–24,follicular,3
1991,males,15–24,hodgkin,39
1991,males,15–24,mantle_cell,0
1991,males,25–34,dlbcl,33
1991,males,25–34,follicular,18
1991,males,25–34,hodgkin,40
1991,males,25–34,mantle_cell,1
1991,males,35–44,dlbcl,53
1991,males,35–44,follicular,46
1991,males,35–44,hodgkin,18
1991,males,35–44,mantle_cell,3
1991,males,45–54,dlbcl,54
1991,males,45–54,follicular,57
1991,males,45–54,hodgkin,17
1991,males,45–54,mantle_cell,8
1991,males,55–64,dlbcl,83
1991,males,55–64,follicular,70
1991,males,55–64,hodgkin,14
1991,males,55–64,mantle_cell,13
1991,males,5–14,dlbcl,3
1991,males,5–14,follicular,0
1991,males,5–14,hodgkin,15
1991,males,5–14,mantle_cell,0
1991,males,65–74,dlbcl,123
1991,males,65–74,follicular,73
1991,males,65–74,hodgkin,22
1991,males,65–74,mantle_cell,25
1991,males,75–84,dlbcl,92
1991,males,75–84,follicular,33
1991,males,75–84,hodgkin,7
1991,males,75–84,mantle_cell,14
1991,males,85+,dlbcl,22
1991,males,85+,follicular,5
1991,males,85+,hodgkin,1
1991,males,85+,mantle_cell,3
1992,females,15–24,dlbcl,6
1992,females,15–24,follicular,1
1992,females,15–24,hodgkin,46
1992,females,15–24,mantle_cell,0
1992,females,25–34,dlbcl,21
1992,females,25–34,follicular,9
1992,females,25–34,hodgkin,41
1992,females,25–34,mantle_cell,1
1992,females,35–44,dlbcl,27
1992,females,35–44,follicular,35
1992,females,35–44,hodgkin,20
1992,females,35–44,mantle_cell,1
1992,females,45–54,dlbcl,43
1992,females,45–54,follicular,52
1992,females,45–54,hodgkin,8
1992,females,45–54,mantle_cell,3
1992,females,55–64,dlbcl,64
1992,females,55–64,follicular,69
1992,females,55–64,hodgkin,16
1992,females,55–64,mantle_cell,5
1992,females,5–14,dlbcl,1
1992,females,5–14,follicular,1
1992,females,5–14,hodgkin,10
1992,females,5–14,mantle_cell,0
1992,females,65–74,dlbcl,113
1992,females,65–74,follicular,76
1992,females,65–74,hodgkin,18
1992,females,65–74,mantle_cell,8
1992,females,75–84,dlbcl,116
1992,females,75–84,follicular,48
1992,females,75–84,hodgkin,13
1992,females,75–84,mantle_cell,7
1992,females,85+,dlbcl,30
1992,females,85+,follicular,9
1992,females,85+,hodgkin,3
1992,females,85+,mantle_cell,3
1992,males,15–24,dlbcl,9
1992,males,15–24,follicular,3
1992,males,15–24,hodgkin,41
1992,males,15–24,mantle_cell,0
1992,males,25–34,dlbcl,36
1992,males,25–34,follicular,19
1992,males,25–34,hodgkin,37
1992,males,25–34,mantle_cell,1
1992,males,35–44,dlbcl,47
1992,males,35–44,follicular,41
1992,males,35–44,hodgkin,31
1992,males,35–44,mantle_cell,3
1992,males,45–54,dlbcl,70
1992,males,45–54,follicular,73
1992,males,45–54,hodgkin,19
1992,males,45–54,mantle_cell,11
1992,males,55–64,dlbcl,93
1992,males,55–64,follicular,78
1992,males,55–64,hodgkin,15
1992,males,55–64,mantle_cell,15
1992,males,5–14,dlbcl,3
1992,males,5–14,follicular,0
1992,males,5–14,hodgkin,13
1992,males,5–14,mantle_cell,0
1992,males,65–74,dlbcl,133
1992,males,65–74,follicular,79
1992,males,65–74,hodgkin,22
1992,males,65–74,mantle_cell,27
1992,males,75–84,dlbcl,101
1992,males,75–84,follicular,36
1992,males,75–84,hodgkin,13
1992,males,75–84,mantle_cell,16
1992,males,85+,dlbcl,22
1992,males,85+,follicular,5
1992,males,85+,hodgkin,1
1992,males,85+,mantle_cell,3
1993,females,15–24,dlbcl,7
1993,females,15–24,follicular,2
1993,females,15–24,hodgkin,34
1993,females,15–24,mantle_cell,0
1993,females,25–34,dlbcl,17
1993,females,25–34,follicular,7
1993,females,25–34,hodgkin,37
1993,females,25–34,mantle_cell,0
1993,females,35–44,dlbcl,25
1993,females,35–44,follicular,32
1993,females,35–44,hodgkin,14
1993,females,35–44,mantle_cell,1
1993,females,45–54,dlbcl,46
1993,females,45–54,follicular,55
1993,females,45–54,hodgkin,11
1993,females,45–54,mantle_cell,3
1993,females,55–64,dlbcl,64
1993,females,55–64,follicular,69
1993,females,55–64,hodgkin,11
1993,females,55–64,mantle_cell,5
1993,females,5–14,dlbcl,1
1993,females,5–14,follicular,1
1993,females,5–14,hodgkin,11
1993,females,5–14,mantle_cell,0
1993,females,65–74,dlbcl,112
1993,females,65–74,follicular,75
1993,females,65–74,hodgkin,22
1993,females,65–74,mantle_cell,8
1993,females,75–84,dlbcl,119
1993,females,75–84,follicular,49
1993,females,75–84,hodgkin,14
1993,females,75–84,mantle_cell,7
1993,females,85+,dlbcl,30
1993,females,85+,follicular,9
1993,females,85+,hodgkin,3
1993,females,85+,mantle_cell,3
1993,males,15–24,dlbcl,11
1993,males,15–24,follicular,3
1993,males,15–24,hodgkin,35
1993,males,15–24,mantle_cell,0
1993,males,25–34,dlbcl,33
1993,males,25–34,follicular,18
1993,males,25–34,hodgkin,47
