year,sex,age_group,cancer_group,count
1996,females,25–34,Non-Hodgkin lymphoma,28
1996,females,35–44,Hodgkin lymphoma,22
1996,females,35–44,Non-Hodgkin lymphoma,90
1996,females,45–54,Hodgkin lymphoma,16
1996,females,45–54,Non-Hodgkin lymphoma,196
1996,females,55–64,Hodgkin lymphoma,10
1996,females,55–64,Non-Hodgkin lymphoma,213
1996,females,5–14,Hodgkin lymphoma,6
1996,females,5–14,Non-Hodgkin lymphoma,10
1996,females,65–74,Hodgkin lymphoma,15
1996,females,65–74,Non-Hodgkin lymphoma,381
1996,females,75–84,Hodgkin lymphoma,11
1996,females,75–84,Non-Hodgkin lymphoma,316
1996,females,85+,Hodgkin lymphoma,3
1996,females,85+,Non-Hodgkin lymphoma,84
1996,males,15–24,Hodgkin lymphoma,51
1996,males,15–24,Non-Hodgkin lymphoma,34
1996,males,25–34,Hodgkin lymphoma,36
1996,males,25–34,Non-Hodgkin lymphoma,91
1996,males,35–44,Hodgkin lymphoma,31
1996,males,35–44,Non-Hodgkin lymphoma,149
1996,males,45–54,Hodgkin lymphoma,34
1996,males,45–54,Non-Hodgkin lymphoma,223
1996,males,55–64,Hodgkin lymphoma,18
1996,males,55–64,Non-Hodgkin lymphoma,301
1996,males,5–14,Hodgkin lymphoma,15
1996,males,5–14,Non-Hodgkin lymphoma,26
1996,males,65–74,Hodgkin lymphoma,22
1996,males,65–74,Non-Hodgkin lymphoma,420
1996,males,75–84,Hodgkin lymphoma,18
1996,males,75–84,Non-Hodgkin lymphoma,304
1996,males,85+,Hodgkin lymphoma,0
1996,males,85+,Non-Hodgkin lymphoma,75
1997,females,15–24,Hodgkin lymphoma,39
1997,females,15–24,Non-Hodgkin lymphoma,18
1997,females,25–34,Hodgkin lymphoma,51
1997,females,25–34,Non-Hodgkin lymphoma,33
1997,females,35–44,Hodgkin lymphoma,24
1997,females,35–44,Non-Hodgkin lymphoma,88
1997,females,45–54,Hodgkin lymphoma,15
1997,females,45–54,Non-Hodgkin lymphoma,194
1997,females,55–64,Hodgkin lymphoma,20
1997,females,55–64,Non-Hodgkin lymphoma,224
1997,females,5–14,Hodgkin lymphoma,13
1997,females,5–14,Non-Hodgkin lymphoma,13
1997,females,65–74,Hodgkin lymphoma,17
1997,females,65–74,Non-Hodgkin lymphoma,364
1997,females,75–84,Hodgkin lymphoma,12
1997,females,75–84,Non-Hodgkin lymphoma,337
1997,females,85+,Hodgkin lymphoma,1
1997,females,85+,Non-Hodgkin lymphoma,118
1997,males,15–24,Hodgkin lymphoma,42
1997,males,15–24,Non-Hodgkin lymphoma,32
1997,males,25–34,Hodgkin lymphoma,54
1997,males,25–34,Non-Hodgkin lymphoma,68
1997,males,35–44,Hodgkin lymphoma,37
1997,males,35–44,Non-Hodgkin lymphoma,130
1997,males,45–54,Hodgkin lymphoma,18
1997,males,45–54,Non-Hodgkin lymphoma,229
1997,males,55–64,Hodgkin lymphoma,18
1997,males,55–64,Non-Hodgkin lymphoma,311
1997,males,5–14,Hodgkin lymphoma,9
