subtype,sex,duration,year,prev_mid,prev_p025,prev_p975,pct_change
hodgkin,males,5,2045,2945.1943485046763,2720.67295822326,3178.891377688391,60.9
hodgkin,persons,5,2021,3299.2136049868213,3283.3468584271263,3313.081595729064,0
hodgkin,persons,5,2030,4102.186933465304,3924.5707098419884,4278.693173660699,24.3
hodgkin,persons,5,2040,4866.482245853741,4598.48781159672,5104.564946952499,47.5
hodgkin,persons,5,2045,5188.2074747719835,4879.845472776282,5478.624288044805,57.3
mantle_cell,females,5,2021,303.65268724147,295.73281960073444,310.65464638435566,0
mantle_cell,females,5,2030,491.719470116365,395.5514947180644,610.7124284016717,61.9
mantle_cell,females,5,2040,720.2297974408486,512.1413320640676,1033.1785953815688,137.2
mantle_cell,females,5,2045,802.7490294927494,525.7103373429378,1264.9331256795472,164.4
mantle_cell,males,5,2021,855.522821944815,843.2496223805083,866.7538282826293,0
mantle_cell,males,5,2030,1169.146793035935,1031.8025064672922,1329.3205141727415,36.7
mantle_cell,males,5,2040,1487.242979273566,1209.2505265056593,1859.3799315931628,73.8
mantle_cell,males,5,2045,1527.9858262804137,1200.3924275715465,2003.6991261620228,78.6
mantle_cell,persons,5,2021,1159.087198710035,1144.6518471011025,1172.6560193784546,0
mantle_cell,persons,5,2030,1663.6351756165582,1494.4461944062555,1857.1181424560361,43.5
mantle_cell,persons,5,2040,2224.3183267128175,1876.1801328948434,2683.3393711299245,91.9
mantle_cell,persons,5,2045,2367.3002151767664,1901.9094614551489,3011.428159710905,104.2
nhl,females,5,2021,10164.919315766172,10125.099247934471,10204.154939268617,0
nhl,females,5,2030,13860.453534017677,13509.027508595143,14220.35151419969,36.4
nhl,females,5,2040,17272.253491109597,16681.259347853815,17912.085838622243,69.9
nhl,females,5,2045,18397.211188363035,17660.801253509642,19209.310426268574,81
nhl,males,5,2021,13314.251630094323,13266.376364071872,13361.751992928135,0
nhl,males,5,2030,17640.98217065825,17263.414255962263,18024.71317850985,32.5
nhl,males,5,2040,21320.120409177645,20684.926371769823,21961.362865084207,60.1
nhl,males,5,2045,22278.436993875057,21525.694584626865,23070.054228837937,67.3
nhl,persons,5,2021,23477.77035497331,23418.235685680596,23538.905740821323,0
nhl,persons,5,2030,31496.600937302926,30976.68131178544,32028.599844399014,34.2
nhl,persons,5,2040,38591.75281591441,37752.134948181076,39549.52599801262,64.4
nhl,persons,5,2045,40668.53265516225,39623.70124297039,41887.814957722454,73.2
total,females,5,2021,11634.346535790992,11592.752579205124,11674.212748057533,0
total,females,5,2030,15700.035450020488,15342.487189405647,16074.67363308982,34.9
total,females,5,2040,19403.641666429154,18767.09500250814,20036.64057460129,66.8
total,females,5,2045,20638.28867180916,19864.522853936127,21457.712839964683,77.4
