effect,value,rr,rr_p025,rr_p975,subtype,sex,tier
cohort,1921.5,0.7686323098913028,0.7529237898078424,0.7860994890268812,nhl,males,agg
cohort,1922,0.77435181708701,0.7591133273468604,0.7914887561291786,nhl,males,agg
cohort,1922.5,0.7802149389772637,0.7654113512942942,0.7970752795824144,nhl,males,agg
cohort,1923,0.7860756348890738,0.7711342743746821,0.8026253561690958,nhl,males,agg
cohort,1923.5,0.7920882765323236,0.7766978884951339,0.8084703465883107,nhl,males,agg
cohort,1924,0.7980249896879803,0.7824832628405672,0.8145230817688022,nhl,males,agg
cohort,1924.5,0.8039188359418877,0.7884812959848728,0.8202596860480591,nhl,males,agg
cohort,1925,0.8099829471297215,0.7945474767430203,0.8259520121477517,nhl,males,agg
cohort,1925.5,0.8160487949658155,0.8004327048024706,0.8318025882409382,nhl,males,agg
cohort,1926,0.8221510823439087,0.8064758584579275,0.8377384136324534,nhl,males,agg
cohort,1926.5,0.8282216578870315,0.81250115940814,0.844013740973642,nhl,males,agg
cohort,1927,0.8344786351821463,0.818561904652536,0.8503941366530097,nhl,males,agg
cohort,1927.5,0.8405545991209491,0.8243826766715849,0.8567541795214489,nhl,males,agg
cohort,1928,0.8467330647226629,0.8304903750820013,0.8629703328140186,nhl,males,agg
cohort,1928.5,0.8529024947751218,0.8363588220616027,0.868918118283943,nhl,males,agg
cohort,1929,0.8589848184857773,0.842273175965167,0.8749710701702825,nhl,males,agg
cohort,1929.5,0.8651205947395808,0.8482159662805735,0.8813274108496881,nhl,males,agg
cohort,1930,0.8711744554439877,0.8541883491084218,0.8876349018645233,nhl,males,agg
cohort,1930.5,0.8773336111819041,0.8600900241907105,0.8937241733232894,nhl,males,agg
cohort,1931,0.883491132081037,0.8661897695521298,0.8999343559933674,nhl,males,agg
cohort,1931.5,0.8895633095700528,0.8723601321110668,0.9056986227696453,nhl,males,agg
cohort,1932.5,0.9017519151331093,0.8848712524362885,0.917959475077465,nhl,males,agg
cohort,1933.5,0.913778393923864,0.8973970204489368,0.9296446961858512,nhl,males,agg
cohort,1934.5,0.9254455037866558,0.90959539366269615,0.9407260012982668,nhl,males,agg
cohort,1935.5,0.9368988800794829,0.92180444912438,0.9524424714416797,nhl,males,agg
cohort,1936.5,0.9481831342758814,0.933207840681512,0.9637852687380725,nhl,males,agg
cohort,1937.5,0.9591151589955142,0.9443821274522264,0.9753412837978293,nhl,males,agg
cohort,1938.5,0.9700819011671793,0.9544903334246659,0.9865436177196328,nhl,males,agg
cohort,1939.5,0.9807578551873652,0.9646823888797983,0.997688148104418,nhl,males,agg
cohort,1940.5,0.9914436364612211,0.9751358277203116,1.0093002432001144,nhl,males,agg
cohort,1941.5,1.0023354251600556,0.9854146062934241,1.0206184445111888,nhl,males,agg
cohort,1942.5,1.0130491732882903,0.995784699166802,1.031480210455542,nhl,males,agg
cohort,1943.5,1.0239683413119278,1.006895001706318,1.0420938592968039,nhl,males,agg
cohort,1944.5,1.0347106923201759,1.0184725449806125,1.0519363007121942,nhl,males,agg
cohort,1945.5,1.0451285677768036,1.0303294057336665,1.060991898165049,nhl,males,agg
