tier,subtype,sex,n_a,n_p,n_c,tot_knots,cases_mape,pe_2021,n_coef,dev_df_full,aic_full
subtype,dlbcl,females,5,7,6,18,7.930956822517478,9.19053047032928,15,1.1734149862554888,1138.8193182675027
subtype,follicular,males,5,7,6,18,4.4706023169528395,-2.3919354971869375,14,1.4150021792756522,1110.55771029702
subtype,follicular,females,5,7,6,18,11.80222962100195,-7.821624043661056,14,1.716578190409402,1107.544838895843
subtype,mantle_cell,males,5,7,6,18,10.396126445224715,43.118148583227,14,0.7696245547290957,711.7372778477317
subtype,mantle_cell,females,5,7,6,18,30.23322745378379,73.49569170745674,14,0.8746795081356755,599.0633845752061
agg,nhl,males,6,7,6,19,1.8907867274813324,4.045887960699861,14,2.510021976727913,2680.739323593762
agg,nhl,females,6,7,6,19,2.10680588482775,1.1910976395036863,15,1.2123286544577696,2224.276721420471
agg,hodgkin,males,6,7,6,19,4.791190382077926,1.1218946354895725,15,2.124966695028216,2060.6820112746373
agg,hodgkin,females,6,7,6,19,8.163242693732427,-0.16025976335339245,15,2.6160247040098468,2129.3601571435233
subtype,dlbcl,males,6,7,6,19,2.8771985152014627,4.991261126319872,14,1.9492631918805894,1320.283886187242
subtype,dlbcl,females,6,7,6,19,8.54943233395036,10.257108361779366,15,1.1734149862554888,1138.8193182675027
subtype,follicular,males,6,7,6,19,4.4706023169528395,-2.3919354971869375,15,1.2579750735583397,1086.6464796258444
subtype,follicular,females,6,7,6,19,10.73838996806625,-5.898943127746065,14,1.716578190409402,1107.544838895843
subtype,mantle_cell,males,6,7,6,19,10.396126445224715,43.118148583227,14,0.7696245547290957,711.7372778477317
subtype,mantle_cell,females,6,7,6,19,30.23322745378379,73.49569170745674,15,0.8523731562182372,596.70891416795
agg,nhl,males,7,7,6,20,1.8907867274813324,4.045887960699861,15,2.3957198850133166,2649.024830578949
agg,nhl,females,7,7,6,20,2.114671954480406,1.1352146950753985,15,1.2123286544577696,2224.276721420471
agg,hodgkin,males,7,7,6,20,4.793506794000198,1.1284967525826817,16,2.012579633896942,2029.987763951902
