sex,age_group,years_since_dx,subtype,annual_rate,source
females,65–74,4,follicular,0.004400000000000004,age-specific
females,65–74,5,follicular,0.006600000000000006,age-specific
females,65–74,1,mantle_cell,0.007400000000000006,age-specific
females,65–74,2,mantle_cell,0.007599999999999996,age-specific
females,65–74,3,mantle_cell,0.009500000000000008,age-specific
females,65–74,4,mantle_cell,0.012,age-specific
females,65–74,5,mantle_cell,0.007400000000000006,age-specific
females,65–74,1,hodgkin,0.005999999999999994,age-specific
females,65–74,2,hodgkin,0.010600000000000009,age-specific
females,65–74,3,hodgkin,0.014600000000000002,age-specific
females,65–74,4,hodgkin,0.0124,age-specific
females,65–74,5,hodgkin,0.009300000000000008,age-specific
females,65–74,1,nhl,0.003300000000000003,age-specific
females,65–74,2,nhl,0.0038000000000000035,age-specific
females,65–74,3,nhl,0.0047999999999999935,age-specific
females,65–74,4,nhl,0.005900000000000005,age-specific
females,65–74,5,nhl,0.005800000000000005,age-specific
females,75–84,1,dlbcl,0.006600000000000006,age-specific
females,75–84,2,dlbcl,0.008099999999999996,age-specific
females,75–84,3,dlbcl,0.0071000000000000065,age-specific
females,75–84,4,dlbcl,0.007000000000000001,age-specific
females,75–84,5,dlbcl,0.007599999999999996,age-specific
females,75–84,1,follicular,0.008199999999999995,age-specific
females,75–84,2,follicular,0.009700000000000009,age-specific
females,75–84,3,follicular,0.009499999999999998,age-specific
females,75–84,4,follicular,0.0129,age-specific
females,75–84,5,follicular,0.014300000000000002,age-specific
females,75–84,1,mantle_cell,0.004800000000000004,age-specific
females,75–84,2,mantle_cell,0.004699999999999993,age-specific
females,75–84,3,mantle_cell,0.018200000000000004,age-specific
females,75–84,4,mantle_cell,0.017399999999999992,age-specific
females,75–84,5,mantle_cell,0.017800000000000003,age-specific
females,75–84,1,hodgkin,0.007699999999999996,age-specific
females,75–84,2,hodgkin,0.006800000000000006,age-specific
females,75–84,3,hodgkin,0.008399999999999996,age-specific
females,75–84,4,hodgkin,0.011200000000000005,age-specific
females,75–84,5,hodgkin,0.0127,age-specific
females,75–84,1,nhl,0.010299999999999998,age-specific
females,75–84,2,nhl,0.011699999999999999,age-specific
females,75–84,3,nhl,0.0118,age-specific
females,75–84,4,nhl,0.0127,age-specific
females,75–84,5,nhl,0.013299999999999996,age-specific
females,85+,1,dlbcl,0.009399999999999997,age-specific
females,85+,2,dlbcl,0.010199999999999997,age-specific
females,85+,3,dlbcl,0.009200000000000003,age-specific
females,85+,4,dlbcl,0.010399999999999998,age-specific
females,85+,5,dlbcl,0.01,age-specific
females,85+,1,follicular,0.007699999999999996,age-specific
females,85+,2,follicular,0.005400000000000005,age-specific
females,85+,3,follicular,0.007600000000000007,age-specific
females,85+,4,follicular,0.010499999999999999,age-specific
females,85+,5,follicular,0.009699999999999997,age-specific
females,85+,1,mantle_cell,0.006100000000000005,fallback (filled cell)
females,85+,2,mantle_cell,0.006149999999999994,fallback (filled cell)
females,85+,3,mantle_cell,0.013850000000000006,fallback (filled cell)
females,85+,4,mantle_cell,0.014699999999999996,fallback (filled cell)
females,85+,5,mantle_cell,0.012600000000000005,fallback (filled cell)
females,85+,1,hodgkin,0.0024000000000000037,fallback (filled cell)
females,85+,2,hodgkin,0.0038571428571428606,fallback (filled cell)
females,85+,3,hodgkin,0.005428571428571432,fallback (filled cell)
females,85+,4,hodgkin,0.005800000000000005,fallback (filled cell)
females,85+,5,hodgkin,0.005542857142857146,fallback (filled cell)
females,85+,1,nhl,0.014299999999999997,age-specific
females,85+,2,nhl,0.014300000000000002,age-specific
females,85+,3,nhl,0.0127,age-specific
females,85+,4,nhl,0.0132,age-specific
females,85+,5,nhl,0.012100000000000003,age-specific
