P,cases_mid,cases_p025,cases_p975,asr_mid,asr_p025,asr_p975,subtype,sex,tier
2039,380.4875010282713,313.6222277229559,466.25944028611235,1.5418518561566632,1.26235340801184,1.932132375140967,mantle_cell,males,subtype
2040,386.33392211316834,316.4939202910141,478.97519826612967,1.5343190028224356,1.2442918361089943,1.9448588270198528,mantle_cell,males,subtype
2041,390.8725549580028,318.14230374119006,491.7152313976839,1.5262057719613478,1.2247977678935462,1.947754960196749,mantle_cell,males,subtype
2042,394.562692939892,318.50139011332186,500.91323266941885,1.5124669267667907,1.2036899095740305,1.947914430172258,mantle_cell,males,subtype
2043,397.32936420825877,318.56928871421854,510.01311016081155,1.4982102622585847,1.1819612823609977,1.9489704076688297,mantle_cell,males,subtype
2044,399.6412318494142,317.5151653330937,519.1483830568261,1.4826595786333852,1.1587075918587209,1.9470174307021368,mantle_cell,males,subtype
2045,401.2528833571223,316.3546819664364,525.7708555873078,1.4635080980312356,1.1338574898925344,1.9410325529941592,mantle_cell,males,subtype
2022,81.7388608154341,68.0962695520045,99.09919601036029,0.45799317685575924,0.38179241020402327,0.5556370784237497,mantle_cell,females,subtype
2023,86.942441435989,72.63940954934336,104.65703294059452,0.4729391706596715,0.3934931348503647,0.5710458505626792,mantle_cell,females,subtype
2024,92.34425628443142,77.37781364314574,110.88987683473937,0.4873679997673452,0.405967814006783,0.5849698329532695,mantle_cell,females,subtype
2025,97.86117449155182,81.82010003852463,117.7095318288137,0.5006537615374602,0.4169061758857458,0.6048599340523403,mantle_cell,females,subtype
2026,103.73651581206076,86.14989982782339,125.31206648588173,0.5148933718127817,0.4272752778694778,0.6234847366822587,mantle_cell,females,subtype
2027,109.70439590756703,91.04198014512986,133.43244539033017,0.5290432160399425,0.43490729104978915,0.6473531810314811,mantle_cell,females,subtype
2028,115.66699849637351,95.16342159760603,142.21292092135585,0.541401766863921,0.4409204322649173,0.6674467836357216,mantle_cell,females,subtype
2029,121.59115439487036,98.76222826106797,151.52637285423282,0.5539762228537752,0.44537413450611046,0.6895099504917458,mantle_cell,females,subtype
2030,127.2542786386648,101.98416303503694,159.78373235007948,0.5645235324266322,0.44985633116107215,0.7182425775934121,mantle_cell,females,subtype
2031,132.79573866917198,104.9223345968192,169.0640200532492,0.5742405915585627,0.45189798717566065,0.741218100055063,mantle_cell,females,subtype
