scenario,year,subtype,sex,duration,prev_mid,prev_p025,prev_p975,prev_mean
conservative,2032,nhl,persons,40,97266.66502628269,94165.40909028973,100993.22948708839,97358.93138534752
conservative,2033,nhl,persons,40,100139.9467730734,97122.45735325004,103696.97296956276,100227.34569252974
conservative,2034,nhl,persons,40,102982.36117130422,100017.73343784723,106433.45718708777,103071.80471279322
conservative,2035,nhl,persons,40,105822.58605804169,102951.62901545702,109222.48013514474,105876.50039597496
conservative,2036,nhl,persons,40,108574.80009476896,105666.66819241815,112001.9739112766,108648.8889315118
conservative,2037,nhl,persons,40,111353.65237132448,108360.15392564949,114801.90731075473,111412.25329273268
conservative,2038,nhl,persons,40,114078.31474233232,110990.95722779384,117579.80294168486,114139.74843601165
conservative,2039,nhl,persons,40,116809.1838291598,113547.3380625714,120466.25149374724,116833.04294660053
conservative,2040,nhl,persons,40,119373.77378070651,116013.52197769833,123267.082268513,119432.80264411539
conservative,2041,nhl,persons,40,121923.24053665611,118314.46539854756,125990.45283670354,121960.66675508971
conservative,2042,nhl,persons,40,124374.3406175067,120473.39371328411,128698.91853265965,124408.23030599699
conservative,2043,nhl,persons,40,126754.37296952777,122493.47634860447,131268.41465894182,126793.66035935115
conservative,2044,nhl,persons,40,129057.95933223654,124570.8598753621,133814.63209901942,129108.1404800813
conservative,2045,nhl,persons,40,131325.63495755388,126550.17385146335,136260.43216314045,131351.43633393527
conservative,2012,total,males,40,28504.35288743506,26110.81699155744,31134.545130022165,28540.442459757287
conservative,2013,total,males,40,29917.27379021916,27402.023272403727,32664.366500297943,29955.203908070736
conservative,2014,total,males,40,31400.47962972619,28815.20000020327,34261.59362284916,31435.425310597406
conservative,2015,total,males,40,32859.30663071038,30150.282792234353,35853.62840266652,32892.28070130092
conservative,2016,total,males,40,34389.7704819342,31568.50559967606,37493.58966001171,34421.912328406645
conservative,2017,total,males,40,36099.97648923994,33180.26033007867,39338.25462635849,36141.385779593664
conservative,2018,total,males,40,37749.31946628532,34736.92065772057,41109.67379807734,37793.91365005518
conservative,2019,total,males,40,39453.93039824558,36359.95373428434,42920.14655548257,39500.22099782164
conservative,2020,total,males,40,41325.275387569665,38217.066187384204,44866.048649181874,41369.337322591055
conservative,2021,total,males,40,42959.95192852582,39791.7244531202,46575.67515697561,43011.30095366763
conservative,2022,total,males,40,44576.73063237845,41421.27242889821,48169.89285738903,44646.10048866051
conservative,2023,total,males,40,46236.745185846536,43106.25374160918,49797.998057681645,46321.76731717261
conservative,2024,total,males,40,47994.53201630125,44868.54834593334,51490.474970139396,48056.766131959674
conservative,2025,total,males,40,49755.39314215109,46724.78390292861,53208.58308371586,49826.50849808233
conservative,2026,total,males,40,51583.62433410454,48596.49253297648,54882.08973503956,51634.98701004624
conservative,2027,total,males,40,53392.44337338217,50493.16352617148,56618.1612479333,53454.42719285117
conservative,2028,total,males,40,55221.85929329233,52387.85530257667,58363.059540315335,55276.69764425114
conservative,2029,total,males,40,57049.58085929972,54295.7731987159,60108.83169694785,57120.629675911805
conservative,2030,total,males,40,58854.53958953993,56251.057553587656,61761.15543115981,58928.97017339699
conservative,2031,total,males,40,60660.276155828586,58220.37291331207,63442.148801699506,60752.24747136354
conservative,2032,total,males,40,62467.62428124732,60039.7824169877,65175.58031216623,62553.117174361156
conservative,2033,total,males,40,64253.86138558235,61863.726515032155,66893.56204957601,64321.470747483814
conservative,2034,total,males,40,66056.01313951798,63681.022554130774,68661.27858292975,66092.776792407
conservative,2035,total,males,40,67806.14746559586,65494.89082512492,70290.57077062079,67840.0216792745
conservative,2036,total,males,40,69494.74538144091,67228.47440219425,71958.91759424447,69547.25861699488
conservative,2037,total,males,40,71200.19741579218,68854.79045093177,73711.98165925528,71256.72891101897
conservative,2038,total,males,40,72927.80463982161,70443.77579866369,75519.21619261146,72932.66516445072
conservative,2039,total,males,40,74565.58743402647,72077.26862324205,77263.8621347535,74578.03509120733
conservative,2040,total,males,40,76135.95686946032,73500.15101615775,78972.50863453886,76163.3759770539
conservative,2041,total,males,40,77671.1532256958,74933.24501016576,80761.47773111887,77703.19382064132
conservative,2042,total,males,40,79178.00206161865,76206.78358411259,82392.46738823422,79203.09963916142
conservative,2043,total,males,40,80578.56645921431,77568.09907647473,84048.64390356683,80637.42565064794
conservative,2044,total,males,40,81958.53753131267,78776.10985216445,85699.06537983651,82036.75244802373
conservative,2045,total,males,40,83307.61617601365,79915.5857637395,87314.93359722072,83380.69084363637
conservative,2012,total,females,40,24183.137844847945,22074.98771038816,26831.837536621264,24272.75984149454
conservative,2013,total,females,40,25355.306122653477,23137.34813019434,28119.903062149875,25441.810907987736
conservative,2014,total,females,40,26676.24928231213,24356.457158273934,29576.500863836194,26767.25032246542
conservative,2015,total,females,40,27906.209750772858,25471.12885934944,30941.471696653356,27997.639464101798
conservative,2016,total,females,40,29244.647083137785,26710.45056083146,32413.789638562914,29341.821748276132
conservative,2017,total,females,40,30572.747960745794,27946.992779780532,33857.032141461525,30678.883297533448
conservative,2018,total,females,40,31871.284839103577,29196.61378077157,35262.95385355219,31979.38032510863
conservative,2019,total,females,40,33257.30956190401,30512.211074258157,36739.633512635206,33363.860289238815
conservative,2020,total,females,40,34849.23152054931,32042.35072405547,38401.654233888,34962.84179486508
conservative,2021,total,females,40,36333.18806779887,33478.9738987361,39995.956002329614,36459.57056421849
conservative,2022,total,females,40,37727.44360856309,34887.28488890603,41320.20954653034,37835.79787761723
conservative,2023,total,females,40,39183.36372863733,36379.54669675271,42751.835139946146,39278.40464076068
conservative,2024,total,females,40,40674.30482940641,37937.195159346804,44121.11791987048,40745.31726618615
conservative,2025,total,females,40,42198.40811601763,39507.196635275126,45551.33223079214,42265.08920441199
conservative,2026,total,females,40,43719.10168410817,41142.00871773908,47006.888490468584,43805.567426073416
conservative,2027,total,females,40,45287.35517009312,42770.89424770853,48498.8709273157,45360.04169639076
conservative,2028,total,females,40,46878.976210699875,44462.89997698784,49980.51158749382,46953.79324072803
conservative,2029,total,females,40,48450.17495868291,46124.20933620965,51420.23704483736,48555.012599805545
conservative,2030,total,females,40,50066.65259842921,47845.06798672678,52893.28704684794,50164.92798217128
conservative,2031,total,females,40,51682.22677160549,49598.93063834039,54413.0528647989,51786.49732285993
conservative,2032,total,females,40,53270.33523192785,51265.95654828291,55887.997232682676,53371.67134741704
conservative,2033,total,females,40,54860.70831790383,52949.39440156014,57394.841740542775,54976.726891176564
conservative,2034,total,females,40,56440.82079758374,54548.539740728,58977.680661678205,56562.00726274844
conservative,2035,total,females,40,58043.297392959415,56103.34081090727,60465.57919787707,58135.2674382194
conservative,2036,total,females,40,59629.81340313547,57669.39317319114,62058.42823128848,59704.71646563497
conservative,2037,total,females,40,61179.526776464845,59236.31630082509,63658.772096721164,61256.97019514279
conservative,2038,total,females,40,62765.33525032399,60703.46473578264,65230.95474616006,62819.71000076891
conservative,2039,total,females,40,64295.01169778291,62146.270712531725,66915.04381216403,64366.71198735298
conservative,2040,total,females,40,65803.10191587635,63498.59073608622,68531.29688632011,65885.6179428351
conservative,2041,total,females,40,67298.6792729141,64815.86110312446,70186.83708471751,67385.19467136811
conservative,2042,total,females,40,68752.13759552022,66047.62584369356,71820.2954119855,68826.64138433797
conservative,2043,total,females,40,70197.55747184303,67308.42507780186,73536.92189480609,70284.38134963495
conservative,2044,total,females,40,71614.4542666703,68510.29119662372,75048.02266310109,71683.91334991122
conservative,2045,total,females,40,72959.13282749728,69600.14846482736,76568.50121366908,73035.99617707876
conservative,2012,total,persons,40,52704.86427268061,49680.49338124942,56400.50301129211,52813.202301251826
conservative,2013,total,persons,40,55285.063798050614,52118.56447703789,59144.23636069454,55397.01481605847
conservative,2014,total,persons,40,58077.46242544021,54790.60096379645,62155.36675791847,58202.67563306283
conservative,2015,total,persons,40,60759.95245712653,57366.02588293753,64978.18684197671,60889.92016540272
conservative,2016,total,persons,40,63630.60825403406,60112.91478453408,68025.02250312532,63763.73407668278
conservative,2017,total,persons,40,66676.47713700449,63038.111536929035,71203.33021846924,66820.26907712712
conservative,2018,total,persons,40,69620.51442638357,65866.79968065546,74325.24411666249,69773.29397516382
conservative,2019,total,persons,40,72712.37159816251,68832.24948112745,77580.53615670769,72864.08128706046
conservative,2020,total,persons,40,76175.40937392152,72205.91669381817,81136.45377609144,76332.17911745614
conservative,2021,total,persons,40,79304.22675437128,75249.7492611584,84315.2158935303,79470.87151788612
conservative,2022,total,persons,40,82333.15935027279,78311.56991472383,87232.52751695231,82481.89836627773
conservative,2023,total,persons,40,85442.68758215611,81465.63182302241,90300.42860637039,85600.1719579333
conservative,2024,total,persons,40,88664.28983685946,84733.20772256711,93368.55951631835,88802.08339814583
conservative,2025,total,persons,40,91945.10410181619,88095.9155161758,96586.26783578935,92091.59770249431
conservative,2026,total,persons,40,95263.31325547372,91550.7647243054,99866.57325811106,95440.55443611965
conservative,2027,total,persons,40,98689.89522700656,94965.60495823604,103140.15845711446,98814.46888924194
conservative,2028,total,persons,40,102098.66740655748,98462.01876315381,106443.90592859765,102230.49088497917
conservative,2029,total,persons,40,105560.54588531924,102080.08659603754,109739.25391515486,105675.64227571736
conservative,2030,total,persons,40,108960.99794045674,105582.65692611678,113007.33561074939,109093.89815556827
conservative,2031,total,persons,40,112435.9890994541,109112.10105831668,116333.4508855382,112538.74479422346
conservative,2032,total,persons,40,115831.79139210249,112565.83622359057,119650.92844515863,115924.78852177819
conservative,2033,total,persons,40,119203.74053446986,116077.51331086374,122869.25700428983,119298.19763866038
conservative,2034,total,persons,40,122578.43789266789,119548.3725765838,126108.77548269356,122654.78405515545
conservative,2035,total,persons,40,125927.03970067417,122892.16931063255,129354.21027737454,125975.28911749391
conservative,2036,total,persons,40,129186.09452499198,126094.41861190934,132619.71708682322,129251.97508262986
conservative,2037,total,persons,40,132463.97805870516,129328.64441089013,135925.66421160856,132513.69910616177
conservative,2038,total,persons,40,135712.13139807328,132429.39457498913,139357.97874207515,135752.37516521962
conservative,2039,total,persons,40,138914.72368014764,135470.54325364882,142762.91768928643,138944.74707856032
conservative,2040,total,persons,40,142021.21919443458,138369.53754463367,146032.2520151382,142048.993919889
conservative,2041,total,persons,40,145050.19890798733,141162.35629295502,149217.6322626348,145088.38849200943
conservative,2042,total,persons,40,148019.86115387978,143811.89110598702,152397.43600124377,148029.7410234994
conservative,2043,total,persons,40,150933.3254179164,146519.36395414794,155579.00605052474,150921.8070002829
conservative,2044,total,persons,40,153745.42421858758,149096.53001953213,158672.53500656347,153720.66579793495
conservative,2045,total,persons,40,156402.13653760162,151549.7658604589,161712.70233380483,156416.68702071512
optimistic,2012,dlbcl,persons,2,2803.6399400072196,2787.616496651264,2819.7879398440714,2803.7531088300116
optimistic,2013,dlbcl,persons,2,2870.239372144071,2847.548364092389,2895.137839490835,2870.347250265013
optimistic,2014,dlbcl,persons,2,2937.152337029267,2914.923394795027,2961.548978612751,2937.233826239061
optimistic,2015,dlbcl,persons,2,2994.786848743148,2971.941766815216,3018.6591622132282,2994.731136876975
optimistic,2016,dlbcl,persons,2,3026.4792929697337,3002.424664855277,3051.821989150836,3026.5880682422453
optimistic,2017,dlbcl,persons,2,3092.8655967156674,3076.0038891060044,3112.1594744827553,3093.3100258408426
optimistic,2018,dlbcl,persons,2,3171.294100719567,3151.5075427053785,3190.083140870287,3171.51719619847
optimistic,2019,dlbcl,persons,2,3299.819161611407,3276.340181444799,3321.4144997570647,3299.8153109015525
