year,prev_mid,prev_p025,prev_p975,prev_mean,duration,subtype,sex
2030,1169.146793035935,1031.8025064672922,1329.3205141727415,1172.9158260828217,5,mantle_cell,males
2031,1220.7860348145218,1067.0534614463202,1397.7237361424814,1224.5093129163386,5,mantle_cell,males
2032,1268.623125068414,1101.3577358744856,1469.4344685106453,1272.8394959421607,5,mantle_cell,males
2033,1312.012304053214,1130.6593105567658,1529.1319622641347,1316.6961541134347,5,mantle_cell,males
2034,1348.3292220182343,1152.9535387088592,1581.8826973195307,1354.2704763102586,5,mantle_cell,males
2035,1378.0604643900588,1167.7512026861039,1632.3385891298267,1385.2287125744344,5,mantle_cell,males
2036,1402.4619348380893,1178.8800106090182,1680.2376716038866,1410.4063603380378,5,mantle_cell,males
2037,1426.1165664724726,1191.7208047167499,1728.3911033076138,1434.4247010210001,5,mantle_cell,males
2038,1448.2080159755294,1198.5324247306717,1768.3649128078093,1457.2918178807586,5,mantle_cell,males
2039,1469.220375738266,1205.636512540098,1812.4734994723299,1478.5726075057019,5,mantle_cell,males
2040,1487.242979273566,1209.2505265056593,1859.3799315931628,1497.8746697396841,5,mantle_cell,males
2041,1502.7253354153881,1208.4800191599998,1892.3525670619476,1514.3088410989076,5,mantle_cell,males
2042,1514.1204539050282,1209.620161280222,1919.7291286020036,1527.4100058125864,5,mantle_cell,males
2043,1521.518700101194,1209.2929424756062,1945.7174715041892,1537.1797990259322,5,mantle_cell,males
2044,1525.2896263548423,1206.5471994117672,1975.8108603311427,1544.1063740185473,5,mantle_cell,males
2045,1527.9858262804137,1200.3924275715465,2003.6991261620228,1548.5974939949404,5,mantle_cell,males
2012,763.8949371633552,724.8307266662067,806.7580112624125,764.929308650097,10,mantle_cell,males
2013,818.2253311107454,777.1014536588608,862.6878799756904,819.0832794391519,10,mantle_cell,males
2014,864.5776097150874,825.5043849911017,906.3877655452868,865.612476325541,10,mantle_cell,males
2015,899.6618033643861,859.5148872905124,943.5170537369783,900.704642957791,10,mantle_cell,males
2016,941.7977307172879,903.775564917796,982.105908746191,942.4738261179854,10,mantle_cell,males
2017,1017.4099347558906,983.7895356527731,1055.0871282203116,1018.0296727367461,10,mantle_cell,males
2018,1053.6674221031462,1022.7352822807433,1086.1410437733748,1053.9002984233737,10,mantle_cell,males
2019,1123.2563664963027,1092.4274117316286,1155.794171575073,1123.426290709848,10,mantle_cell,males
2020,1187.520215911659,1153.716138459824,1222.1028021763277,1187.3508093162268,10,mantle_cell,males
2021,1195.1531503338533,1152.9485355876188,1240.0596048245966,1195.3129545824522,10,mantle_cell,males
2022,1252.3662902915853,1206.2732446422026,1296.9638784779547,1251.764144189558,10,mantle_cell,males
2023,1314.1607881361451,1259.9143981498303,1367.9788140827432,1313.5706298119228,10,mantle_cell,males
2024,1380.1211710504567,1310.188771003176,1452.3111996947691,1380.180021574397,10,mantle_cell,males
2025,1456.7493250210389,1370.276202660376,1551.7745081800858,1457.8587954022755,10,mantle_cell,males
2026,1540.5518715985777,1429.0472233698606,1658.7529244588923,1540.711244245134,10,mantle_cell,males
2027,1598.6762427142987,1467.141768450629,1739.3440971147543,1599.7976149515441,10,mantle_cell,males
2028,1681.5854575918866,1527.3142675704003,1844.12291409924,1682.5004494432433,10,mantle_cell,males
2029,1750.3959169525008,1568.67451003118,1935.9686782160175,1751.2560222895206,10,mantle_cell,males
2030,1824.5707529135548,1609.2789144513001,2039.7260916616542,1825.1097680102416,10,mantle_cell,males
2031,1926.6061486965273,1682.7018064734948,2177.6405786214177,1928.8947708984801,10,mantle_cell,males
2032,2020.1017222359155,1749.7556910413364,2301.826778830857,2023.347879628812,10,mantle_cell,males
2033,2111.3719239182906,1812.5683196114203,2414.2513661592284,2114.903544438894,10,mantle_cell,males
2034,2197.406805248209,1871.0994023281326,2537.6684683089798,2201.2830002214137,10,mantle_cell,males
2035,2274.115560404626,1920.7194195865538,2659.80396022978,2281.3138046427785,10,mantle_cell,males
2036,2345.3942829624775,1962.7314871184826,2771.314578161737,2354.5746863086347,10,mantle_cell,males
2037,2410.401587148208,1996.1143143957388,2879.8604086287505,2420.123208550768,10,mantle_cell,males
2038,2469.3561382035086,2026.6784536054672,2977.2633362299835,2477.382745571926,10,mantle_cell,males
2039,2519.4369640171603,2046.7748350551317,3058.1242067080725,2525.8766062486307,10,mantle_cell,males
2040,2557.995006581371,2059.992175524769,3126.5766634921692,2565.2695890521222,10,mantle_cell,males
2041,2583.6230843435933,2069.308974669274,3188.88709728429,2595.4238540681977,10,mantle_cell,males
2042,2606.0688320002455,2063.708169766581,3247.549654494037,2621.2513245864066,10,mantle_cell,males
2043,2625.8438381767855,2054.3269070245037,3298.079796854199,2642.802649784375,10,mantle_cell,males
2044,2638.772922090344,2045.900360888439,3344.057604125682,2660.3920835383333,10,mantle_cell,males
2045,2651.975670982649,2035.247940215439,3385.9453634738607,2674.27242877653,10,mantle_cell,males
2012,913.3625664145394,778.1372800331696,1202.667517639946,936.8607442138407,40,mantle_cell,males
2013,975.8362654216583,834.5757466940422,1280.6658570192535,1001.6515560589328,40,mantle_cell,males
2014,1039.5673409088567,891.9589744110338,1356.1095232651865,1065.3510846541521,40,mantle_cell,males
2015,1090.66774376297,936.8040899437353,1421.3858197663078,1116.3784527904984,40,mantle_cell,males
2016,1148.4049225395408,989.4944540565593,1491.5282682510554,1175.9563603992665,40,mantle_cell,males
2017,1243.789160073229,1085.2345954624766,1595.2064375460293,1271.3616383177746,40,mantle_cell,males
2018,1302.3707914718161,1141.2895892628162,1662.0298668634669,1330.8466106561311,40,mantle_cell,males
2019,1393.8198466688707,1230.4906859044988,1765.2396119160023,1424.2115092963784,40,mantle_cell,males
2020,1487.91637958832,1323.0581820047087,1858.1717990767984,1518.5220402103796,40,mantle_cell,males
2021,1518.7319663477458,1358.158478849939,1902.7520770199812,1554.2716289918537,40,mantle_cell,males
2022,1588.3483922684002,1420.9508915909448,1977.571683480994,1623.6962836164373,40,mantle_cell,males
2023,1668.3771941548134,1500.974037385677,2045.5618381376987,1702.4409025762452,40,mantle_cell,males
2024,1759.1695140698155,1582.222962975421,2128.0341596612598,1790.3863315278588,40,mantle_cell,males
2025,1858.3321730993403,1667.5296160267703,2224.912812311739,1886.896692320823,40,mantle_cell,males
2026,1967.4384178134314,1762.7010367677053,2330.588312430088,1992.6544131136193,40,mantle_cell,males
2027,2088.156320207753,1860.271376421771,2450.281583491922,2107.737543186621,40,mantle_cell,males
2028,2220.35245844255,1965.1618749317777,2569.030980371788,2232.785944784607,40,mantle_cell,males
2029,2358.1572178981633,2086.807141019003,2712.6122416517464,2366.624284000241,40,mantle_cell,males
2030,2504.2864243843214,2200.000567048984,2846.2039775440294,2507.7854227015932,40,mantle_cell,males
2031,2654.1006169282023,2320.474676896909,3001.6469421971215,2656.4843724904354,40,mantle_cell,males
2032,2811.168680927874,2427.6522257746906,3187.702024860586,2809.528258804961,40,mantle_cell,males
2033,2970.0020134868446,2547.681870766944,3404.118042602891,2966.6069426724766,40,mantle_cell,males
2034,3131.6262585860504,2656.8789484975036,3627.441087976715,3125.2340462736965,40,mantle_cell,males
2035,3284.8242783311134,2767.711521164141,3856.9794679283823,3284.6613305268315,40,mantle_cell,males
